scientific.name,common.name,iconic.taxon.name,groups,observed.on,place.guess,positional.accuracy,user.login,user.id,captive.cultivated,url,image.url,license,source,checklist,count,longitude,latitude
Poecile atricapillus,black-capped chickadee,Aves,Birds,2023-03-05,Acadia NP--Aunt Betty's Pond Carriage Path Loop,NA,NA,NA,NA,https://ebird.org/checklist/S130311067,NA,NA,eBird,S130311067,4,-68.2719612,44.3688395
Rissa tridactyla,black-legged kittiwake,Aves,Birds,2023-03-05,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130274236,NA,NA,eBird,S130274236,1,-68.0603456,44.3324746
Cyanocitta cristata,blue jay,Aves,Birds,2023-03-05,Acadia NP--Aunt Betty's Pond Carriage Path Loop,NA,NA,NA,NA,https://ebird.org/checklist/S130311067,NA,NA,eBird,S130311067,3,-68.2719612,44.3688395
Bucephala albeola,bufflehead,Aves,Birds,2023-03-10,Acadia NP--East Schoodic Drive ,NA,NA,NA,NA,https://ebird.org/checklist/S130602437,NA,NA,eBird,S130602437,11,-68.0390396,44.3625954
Bucephala albeola,bufflehead,Aves,Birds,2023-03-10,Acadia NP—greater Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130601312,NA,NA,eBird,S130601312,5,-68.04231,44.361568
Bucephala albeola,bufflehead,Aves,Birds,2023-03-10,Acadia NP--Blueberry Hill,NA,NA,NA,NA,https://ebird.org/checklist/S130596925,NA,NA,eBird,S130596925,3,-68.0454782,44.3386398
Bucephala albeola,bufflehead,Aves,Birds,2023-03-08,Acadia NP--Seawall Picnic Area,NA,NA,NA,NA,https://ebird.org/checklist/S130473830,NA,NA,eBird,S130473830,3,-68.3025,44.2373
Bucephala albeola,bufflehead,Aves,Birds,2023-03-07,Acadia NP--Schoodic Peninsula,NA,NA,NA,NA,https://ebird.org/checklist/S130380667,NA,NA,eBird,S130380667,8,-68.0582428,44.3403019
Bucephala albeola,bufflehead,Aves,Birds,2023-03-06,Acadia NP--Schoodic Point,NA,NA,NA,NA,https://ebird.org/checklist/S130348210,NA,NA,eBird,S130348210,12,-68.0603456,44.3324746
Bucephala albeola,bufflehead,Aves,Birds,2023-03-05,Acadia NP - Buck Cove,NA,NA,NA,NA,https://ebird.org/checklist/S130298792,NA,NA,eBird,S130298792,6,-68.0469131,44.359574
